id,hiligaynon_complaint,normalized_symptom,english_translation,medical_term,body_part,pain_category,severity_level,alternative_spellings
1402,may ara ko kirot ulo sige ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1403,may ara ko kirot utok sige ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1404,may ara ko nga grabe gid bug-at ulo subong,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1405,may ara ko nga grabe gid bug-at utok subong,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1406,may ara ko nga hapdi ulo ko ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1407,may ara ko nga hapdi ulo ko ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1408,may ara ko nga hapdi utok ko ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1409,may ara ko nga hapdi utok ko ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1410,may ara ko nga headache gid ko subong,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1411,nagasaket ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1412,nagasakit ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1413,nagasakit ulo bah,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1414,nagasakit ulo gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1415,nagasakit ulo gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1416,nagasakit ulo ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1417,nagasakit ulo ko ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1418,nagasakit ulo man,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1419,nagasakit ulo no,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1420,nagasakit utok,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1421,nagasakit utok ko ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1422,nagaskit ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1423,panakit ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1424,panakit utok,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1425,pareho ako nagasakit ulo halin sang aga gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1426,pareho ako nagasakit utok halin sang aga gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1427,pareho feel ko nga daw mabutho ulo ko ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1428,pareho feel ko nga daw mabutho utok ko ako,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1429,pareho nagasakit ulo ko gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1430,pareho nagasakit utok ko gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1431,pareho pirmi ko ginasakit ulo na gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1432,pareho pirmi ko ginasakit utok na gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1433,pirmi ko ulo masakit gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1434,pirmi ko utok masakit gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1435,saket sang ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1436,saket ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1437,Sakit gid ulo ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1438,Sakit gid utok ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1439,sakit sang ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1440,sakit sang ulo bah,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1441,sakit sang ulo gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1442,sakit sang ulo gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1443,sakit sang ulo ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1444,sakit sang ulo man,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1445,sakit sang ulo no,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1446,sakit sang utok,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1447,sakit ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1448,sakit ulo bah,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1449,sakit ulo gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1450,sakit ulo gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1451,sakit ulo ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1452,sakit ulo man,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1453,sakit ulo no,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1454,sakit utok,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1455,skit sang ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1456,skit ulo,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1457,ulo masaket,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1458,ulo masakit,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1459,ulo masakit bah,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1460,ulo masakit gid,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1461,ulo masakit gid ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1462,ulo masakit ko,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1463,ulo masakit man,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1464,ulo masakit no,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1465,ulo masakti,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1466,ulo maskit,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1467,utok masakit,head pain,headache,cephalalgia,head,neurological pain,medium,daw mabutho ulo;sakit sang ulo;nagasakit ulo;ginasakit ulo;masakit ulo;ulo masakit;panakit ulo;bug-at ulo;hapdi ulo;sakit ulo;kirot ulo
1468,basin ako masakit hawak halin sang aga,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1469,basin daw kirot hawak gid ko gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1470,basin hapdi hawak ko subong,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1471,basin kirot hawak ko gid ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1472,basin masakit grabe akon hawak gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1473,basin may ara ko sakit hawak halin sang aga man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1474,basin may ara ko sakit hawak subong ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1475,basin nagasakit hawak ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1476,basin sakit hawak gid ko subong gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1477,basin sakit hawak ko pirmi gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1478,daw daw kirot hawak gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1479,daw feel ko nga masakit hawak ko gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1480,daw ginasakit hawak gid ko subong gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1481,daw grabe gid ginasakit hawak gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1482,daw hapdi hawak gid ko subong ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1483,daw hapdi hawak ko gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1484,daw hapdi hawak ko na gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1485,daw kirot hawak ko gid man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1486,daw kirot hawak ko grabe subong,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1487,daw kirot hawak ko grabeh,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1488,daw kirot hawak ko grabeh na gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1489,daw masakit grabeh akon hawak ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1490,daw may ara ko ginasakit hawak halin sang aga man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1491,daw nagasakit hawak ko na gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1492,daw pirmi ko ginasakit hawak ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1493,feel ko nga ako ginasakit hawak subong na gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1494,feel ko nga ako hapdi hawak kagapon man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1495,feel ko nga ako masakit hawak kagapon ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1496,feel ko nga daw ginasakit hawak gid ko gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1497,feel ko nga daw kirot hawak gid ko man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1498,feel ko nga feel ko nga sakit hawak ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1499,feel ko nga ginasakit hawak ko gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1500,feel ko nga ginasakit hawak ko man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1501,feel ko nga grabe gid kirot hawak man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1502,feel ko nga grabe gid masakit hawak man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1503,feel ko nga grabe gid sakit hawak gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1504,feel ko nga hip pain gid ko gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1505,feel ko nga kirot hawak ko daw malala ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1506,feel ko nga kirot hawak ko grabeh ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1507,feel ko nga masakit hawak ko gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1508,feel ko nga masakit malala gid akon hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1509,feel ko nga masakit sobra akon hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1510,feel ko nga may hip pain ko ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1511,feel ko nga nagasakit hawak ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1512,feel ko nga nagasakit hawak ko ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1513,feel ko nga nagasakit hawak ko gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1514,feel ko nga pirmi ko kirot hawak ako,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1515,ginasaket hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1516,ginasakit hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1517,ginasakit hawak bah,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1518,ginasakit hawak gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1519,ginasakit hawak gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1520,ginasakit hawak ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1521,ginasakit hawak ko man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1522,ginasakit hawak man,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1523,ginasakit hawak no,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1524,ginaskit hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1525,hapde hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1526,hapdi hawak,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1527,hapdi hawak bah,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1528,hapdi hawak gid,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
1529,hapdi hawak gid ko,hip pain,hip pain,hip pain,hip,musculoskeletal pain,medium,ginasakit hawak;masakit hawak;sakit hawak;hapdi hawak;kirot hawak
