hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
diabetis,diyabetes;diabetes;may sugar;high sugar;mataas nga asukal,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
diyabetes,diabetes;diabetis;may sugar;high sugar;mataas nga asukal,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
high sugar,diyabetes;diabetes;diabetis;may sugar;mataas nga asukal;high-sugar,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
mataas nga asukal,diyabetes;diabetes;diabetis;may sugar;high sugar;nagmataas nga asukal;may mataas nga asukal;ginmataas nga asukal;mataas-nga-asukal,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
may sugar,diyabetes;diabetes;diabetis;high sugar;mataas nga asukal;may-sugar,diabetes,diabetes mellitus,General Medicine,Medium,diabetes;sugar;thirst;urine
fatigue,kapoy gid;kapoy;kakapoy;ginakapoy;ginakapoy gid;mahina lawas;luya,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
ginakapoy,kapoy gid;kapoy;kakapoy;ginakapoy gid;mahina lawas;luya;fatigue,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
ginakapoy gid,kapoy gid;kapoy;kakapoy;ginakapoy;mahina lawas;luya;fatigue;ginakapoy-gid,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
kakapoy,kapoy gid;kapoy;ginakapoy;ginakapoy gid;mahina lawas;luya;fatigue;ginkakapoy;nagkakapoy;may kakapoy,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
kapoy,kapoy gid;kakapoy;ginakapoy;ginakapoy gid;mahina lawas;luya;fatigue;ginkapoy;nagkapoy;may kapoy,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
kapoy gid,kapoy;kakapoy;ginakapoy;ginakapoy gid;mahina lawas;luya;fatigue;nagkapoy gid;kapoy-gid;may kapoy gid;ginkapoy gid,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
luya,kapoy gid;kapoy;kakapoy;ginakapoy;ginakapoy gid;mahina lawas;fatigue;nagluya;ginluya;may luya,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
mahina lawas,kapoy gid;kapoy;kakapoy;ginakapoy;ginakapoy gid;luya;fatigue;ginmahina lawas;may mahina lawas;mahina-lawas;nagmahina lawas,fatigue,fatigue,General Medicine,Low,fatigue;tired;weakness
fever,hilanat;gilantan;ginahilantan;ginahilanat;mainit lawas;may lagnat;lagnat;init lawas,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
gilantan,hilanat;ginahilantan;ginahilanat;mainit lawas;may lagnat;lagnat;init lawas;fever,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
ginahilanat,hilanat;gilantan;ginahilantan;mainit lawas;may lagnat;lagnat;init lawas;fever,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
ginahilantan,hilanat;gilantan;ginahilanat;mainit lawas;may lagnat;lagnat;init lawas;fever,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
hilanat,gilantan;ginahilantan;ginahilanat;mainit lawas;may lagnat;lagnat;init lawas;fever;may hilanat;naghilanat;ginhilanat,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
init lawas,hilanat;gilantan;ginahilantan;ginahilanat;mainit lawas;may lagnat;lagnat;fever;gininit lawas;may init lawas;init-lawas;naginit lawas,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
lagnat,hilanat;gilantan;ginahilantan;ginahilanat;mainit lawas;may lagnat;init lawas;fever,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
mainit lawas,hilanat;gilantan;ginahilantan;ginahilanat;may lagnat;lagnat;init lawas;fever;nagmainit lawas;mainit-lawas;ginmainit lawas;may mainit lawas,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
may lagnat,hilanat;gilantan;ginahilantan;ginahilanat;mainit lawas;lagnat;init lawas;fever;may-lagnat,fever,pyrexia,General Medicine,Medium,fever;temperature;infection
ginadula gana,loss energy;ginadula-gana,lethargy,lethargy,General Medicine,Medium,tired;weak;lethargy
loss energy,ginadula gana;loss-energy,lethargy,lethargy,General Medicine,Medium,tired;weak;lethargy
loss appetite skin,nagadula gana;malnutrition sign;loss-appetite-skin,malnutrition signs,malnutrition,General Medicine,Medium,weight;nutrition;weak
malnutrition sign,nagadula gana;loss appetite skin;malnutrition-sign,malnutrition signs,malnutrition,General Medicine,Medium,weight;nutrition;weak
nagadula gana,loss appetite skin;malnutrition sign;nagadula-gana,malnutrition signs,malnutrition,General Medicine,Medium,weight;nutrition;weak
ginadula gana kaon,poor appetite;ginadula-gana-kaon,poor appetite,anorexia,General Medicine,Low,appetite;eat;anorexia
poor appetite,ginadula gana kaon;poor-appetite,poor appetite,anorexia,General Medicine,Low,appetite;eat;anorexia
ginatulo sing dugo kag steroid,ginatulo-sing-dugo-kag-steroid,steroid bleeding,steroid complication,General Medicine,Medium,blood;steroid;ulcer
ginauhaw,thirst;uhaw,thirst,polydipsia,General Medicine,Low,thirst;dehydration;diabetes
thirst,ginauhaw;uhaw,thirst,polydipsia,General Medicine,Low,thirst;dehydration;diabetes
uhaw,ginauhaw;thirst,thirst,polydipsia,General Medicine,Low,thirst;dehydration;diabetes
ginatulo sing dugo kag ngipon bunot,ginatulo-sing-dugo-kag-ngipon-bunot,tooth extraction bleeding,dental hemorrhage,General Medicine,Low,blood;dental
ginadugang timbang,weight gain;ginadugang-timbang,weight gain,weight gain,General Medicine,Low,weight;gain;obesity
weight gain,ginadugang timbang;weight-gain,weight gain,weight gain,General Medicine,Low,weight;gain;obesity
ginadula timbang,weight loss;nagpayupay;ginadula-timbang,weight loss,weight loss,General Medicine,Medium,weight;loss;malnutrition
nagpayupay,ginadula timbang;weight loss,weight loss,weight loss,General Medicine,Medium,weight;loss;malnutrition
weight loss,ginadula timbang;nagpayupay;weight-loss,weight loss,weight loss,General Medicine,Medium,weight;loss;malnutrition
nagapus,sore with pus,abscess,abscess,Infectious Disease,Medium,pus;infection;wound
sore with pus,nagapus;sore-with-pus,abscess,abscess,Infectious Disease,Medium,pus;infection;wound
ginatulo sing dugo kag ubo,ginatulo-sing-dugo-kag-ubo,bloody cough stool,tuberculosis bleeding,Infectious Disease,Critical,blood;cough;tb
ginatulo sing dugo kag hilanat,ginatulo-sing-dugo-kag-hilanat,bloody fever,infectious colitis,Infectious Disease,High,blood;fever;infection
covid breathless,nagadula ginhawa tungod covid;covid-breathless,covid dyspnea,covid-19,Infectious Disease,Critical,covid;breath;fever
nagadula ginhawa tungod covid,covid breathless;nagadula-ginhawa-tungod-covid,covid dyspnea,covid-19,Infectious Disease,Critical,covid;breath;fever
corona,covid;covid-19;coronavirus,covid-19,covid-19,Infectious Disease,High,covid;fever;cough;respiratory
coronavirus,covid;covid-19;corona,covid-19,covid-19,Infectious Disease,High,covid;fever;cough;respiratory
covid,covid-19;corona;coronavirus,covid-19,covid-19,Infectious Disease,High,covid;fever;cough;respiratory
covid-19,covid;corona;coronavirus;covid 19;covid19,covid-19,covid-19,Infectious Disease,High,covid;fever;cough;respiratory
denggi,dengue;dengue fever;ginadengue,dengue,dengue fever,Infectious Disease,High,dengue;fever;mosquito;bleeding
dengue,denggi;dengue fever;ginadengue,dengue,dengue fever,Infectious Disease,High,dengue;fever;mosquito;bleeding
dengue fever,dengue;denggi;ginadengue;dengue-fever,dengue,dengue fever,Infectious Disease,High,dengue;fever;mosquito;bleeding
ginadengue,dengue;denggi;dengue fever,dengue,dengue fever,Infectious Disease,High,dengue;fever;mosquito;bleeding
dengue breathless,nagadula ginhawa tungod dengue;dengue-breathless,dengue with dyspnea,dengue fever,Infectious Disease,Critical,dengue;breath;bleeding
nagadula ginhawa tungod dengue,dengue breathless;nagadula-ginhawa-tungod-dengue,dengue with dyspnea,dengue fever,Infectious Disease,Critical,dengue;breath;bleeding
fever anorexia,nagadula gana tungod hilanat;fever-anorexia,fever with anorexia,pyrexia,Infectious Disease,Medium,fever;appetite;infection
nagadula gana tungod hilanat,fever anorexia;nagadula-gana-tungod-hilanat,fever with anorexia,pyrexia,Infectious Disease,Medium,fever;appetite;infection
ginahilanat sing taas,high fever;sobra hilanat;ginahilanat-sing-taas,high fever,hyperpyrexia,Infectious Disease,High,fever;high;infection
high fever,ginahilanat sing taas;sobra hilanat;high-fever,high fever,hyperpyrexia,Infectious Disease,High,fever;high;infection
sobra hilanat,ginahilanat sing taas;high fever;sobra-hilanat;ginsobra hilanat;may sobra hilanat;nagsobra hilanat,high fever,hyperpyrexia,Infectious Disease,High,fever;high;infection
ginaimpeksyon,impeksyon;infection,infection,infection,Infectious Disease,Medium,infection;fever;bacteria
impeksyon,infection;ginaimpeksyon,infection,infection,Infectious Disease,Medium,infection;fever;bacteria
infection,impeksyon;ginaimpeksyon,infection,infection,Infectious Disease,Medium,infection;fever;bacteria
flu,trangkaso;influenza;ginatrangkaso,influenza,influenza,Infectious Disease,Medium,flu;fever;viral;respiratory
ginatrangkaso,trangkaso;flu;influenza,influenza,influenza,Infectious Disease,Medium,flu;fever;viral;respiratory
influenza,trangkaso;flu;ginatrangkaso,influenza,influenza,Infectious Disease,Medium,flu;fever;viral;respiratory
trangkaso,flu;influenza;ginatrangkaso,influenza,influenza,Infectious Disease,Medium,flu;fever;viral;respiratory
ginamalaria,malaria,malaria,malaria,Infectious Disease,High,fever;malaria;chills
malaria,ginamalaria,malaria,malaria,Infectious Disease,High,fever;malaria;chills
ginatulo sing dugo kag tb,ginatulo-sing-dugo-kag-tb,tb bleeding,tuberculosis hemoptysis,Infectious Disease,Critical,tb;blood;cough
fever travel,nagahilanat tapos travel;fever-travel,travel-related fever,fever of unknown origin,Infectious Disease,Medium,fever;travel;tropical
nagahilanat tapos travel,fever travel;nagahilanat-tapos-travel,travel-related fever,fever of unknown origin,Infectious Disease,Medium,fever;travel;tropical
ptb,tb;tuberculosis;t.b.;tbc,tuberculosis,tuberculosis,Infectious Disease,High,tb;lung;cough;fever
t.b.,tb;tuberculosis;tbc;ptb;nagt.b.;gint.b.;may t.b.,tuberculosis,tuberculosis,Infectious Disease,High,tb;lung;cough;fever
tb,tuberculosis;t.b.;tbc;ptb,tuberculosis,tuberculosis,Infectious Disease,High,tb;lung;cough;fever
tbc,tb;tuberculosis;t.b.;ptb,tuberculosis,tuberculosis,Infectious Disease,High,tb;lung;cough;fever
tuberculosis,tb;t.b.;tbc;ptb;gintuberculosis;may tuberculosis;nagtuberculosis,tuberculosis,tuberculosis,Infectious Disease,High,tb;lung;cough;fever
tipus,typhoid;typhoid fever,typhoid fever,typhoid fever,Infectious Disease,High,fever;typhoid;infection
typhoid,typhoid fever;tipus,typhoid fever,typhoid fever,Infectious Disease,High,fever;typhoid;infection
typhoid fever,typhoid;tipus;typhoid-fever,typhoid fever,typhoid fever,Infectious Disease,High,fever;typhoid;infection
agitation,nagabangis;irritable,agitation,agitation,Mental Health,Medium,agitation;mania;psychiatric
irritable,nagabangis;agitation,agitation,agitation,Mental Health,Medium,agitation;mania;psychiatric
nagabangis,agitation;irritable,agitation,agitation,Mental Health,Medium,agitation;mania;psychiatric
loss interest life,nagadula gana buhi;loss-interest-life,anhedonia,anhedonia,Mental Health,Medium,depression;interest;mood
nagadula gana buhi,loss interest life;nagadula-gana-buhi,anhedonia,anhedonia,Mental Health,Medium,depression;interest;mood
anxiety chest,kulba;ginakulba;nagakulba;kaba;ginakaba;anxiety-chest,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
ginakaba,kulba;ginakulba;nagakulba;kaba;anxiety chest,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
ginakulba,kulba;nagakulba;kaba;ginakaba;anxiety chest,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
kaba,kulba;ginakulba;nagakulba;ginakaba;anxiety chest;ginkaba;nagkaba;may kaba,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
kulba,ginakulba;nagakulba;kaba;ginakaba;anxiety chest,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
nagakulba,kulba;ginakulba;kaba;ginakaba;anxiety chest,anxiety,anxiety,Mental Health,Medium,anxiety;stress;worry
ginakatulog sing damo,sobra katulog;hypersomnia;ginakatulog-sing-damo,excessive sleepiness,hypersomnia,Mental Health,Low,sleep;fatigue;depression
hypersomnia,sobra katulog;ginakatulog sing damo,excessive sleepiness,hypersomnia,Mental Health,Low,sleep;fatigue;depression
sobra katulog,ginakatulog sing damo;hypersomnia;may sobra katulog;nagsobra katulog;sobra-katulog;ginsobra katulog,excessive sleepiness,hypersomnia,Mental Health,Low,sleep;fatigue;depression
fatigue insomnia,nagadula tulog kag kapoy;fatigue-insomnia,fatigue with insomnia,insomnia,Mental Health,Medium,sleep;fatigue;depression
nagadula tulog kag kapoy,fatigue insomnia;nagadula-tulog-kag-kapoy,fatigue with insomnia,insomnia,Mental Health,Medium,sleep;fatigue;depression
dili katulog,indi katulog;dili makatulog;ginadula katulog;insomnia;may dili katulog;dili-katulog;gindili katulog;nagdili katulog,insomnia,insomnia,Mental Health,Medium,sleep;insomnia;anxiety
dili makatulog,indi katulog;dili katulog;ginadula katulog;insomnia;nagdili makatulog;may dili makatulog;dili-makatulog;gindili makatulog,insomnia,insomnia,Mental Health,Medium,sleep;insomnia;anxiety
ginadula katulog,indi katulog;dili makatulog;dili katulog;insomnia;ginadula-katulog,insomnia,insomnia,Mental Health,Medium,sleep;insomnia;anxiety
indi katulog,dili makatulog;dili katulog;ginadula katulog;insomnia;ginindi katulog;may indi katulog;indi-katulog;nagindi katulog,insomnia,insomnia,Mental Health,Medium,sleep;insomnia;anxiety
insomnia,indi katulog;dili makatulog;dili katulog;ginadula katulog,insomnia,insomnia,Mental Health,Medium,sleep;insomnia;anxiety
nagakurog kabalaka,panic attack;panic;nagakurog-kabalaka,panic attack,panic disorder,Mental Health,High,panic;anxiety;chest
panic,nagakurog kabalaka;panic attack,panic attack,panic disorder,Mental Health,High,panic;anxiety;chest
panic attack,nagakurog kabalaka;panic;panic-attack,panic attack,panic disorder,Mental Health,High,panic;anxiety;chest
nagadula focus,poor concentration;nagadula-focus,poor concentration,poor concentration,Mental Health,Low,focus;adhd;anxiety
poor concentration,nagadula focus;poor-concentration,poor concentration,poor concentration,Mental Health,Low,focus;adhd;anxiety
depression,nagabatyag kasubo;ginakasubo;kasubo;malungkot;depresyon,sadness,depression,Mental Health,Medium,depression;sad;mood
depresyon,nagabatyag kasubo;ginakasubo;kasubo;malungkot;depression,sadness,depression,Mental Health,Medium,depression;sad;mood
ginakasubo,nagabatyag kasubo;kasubo;malungkot;depresyon;depression,sadness,depression,Mental Health,Medium,depression;sad;mood
kasubo,nagabatyag kasubo;ginakasubo;malungkot;depresyon;depression;may kasubo;ginkasubo;nagkasubo,sadness,depression,Mental Health,Medium,depression;sad;mood
malungkot,nagabatyag kasubo;ginakasubo;kasubo;depresyon;depression,sadness,depression,Mental Health,Medium,depression;sad;mood
nagabatyag kasubo,ginakasubo;kasubo;malungkot;depresyon;depression;nagabatyag-kasubo,sadness,depression,Mental Health,Medium,depression;sad;mood
nagadula gana social,social withdrawal;nagadula-gana-social,social withdrawal,social withdrawal,Mental Health,Medium,depression;isolation;social
social withdrawal,nagadula gana social;social-withdrawal,social withdrawal,social withdrawal,Mental Health,Medium,depression;isolation;social
ginakabalaka,kabalaka;stress;ginastress;sobra kabalaka;worry,stress,stress,Mental Health,Low,stress;anxiety;worry
ginastress,kabalaka;ginakabalaka;stress;sobra kabalaka;worry,stress,stress,Mental Health,Low,stress;anxiety;worry
kabalaka,ginakabalaka;stress;ginastress;sobra kabalaka;worry;may kabalaka;ginkabalaka;nagkabalaka,stress,stress,Mental Health,Low,stress;anxiety;worry
sobra kabalaka,kabalaka;ginakabalaka;stress;ginastress;worry;ginsobra kabalaka;sobra-kabalaka;nagsobra kabalaka;may sobra kabalaka,stress,stress,Mental Health,Low,stress;anxiety;worry
stress,kabalaka;ginakabalaka;ginastress;sobra kabalaka;worry,stress,stress,Mental Health,Low,stress;anxiety;worry
worry,kabalaka;ginakabalaka;stress;ginastress;sobra kabalaka,stress,stress,Mental Health,Low,stress;anxiety;worry
ankle pain,masakit buko-buko;sakit buko-buko;ankle-pain,ankle pain,ankle pain,Musculoskeletal,Low,ankle;joint;sprain
masakit buko-buko,ankle pain;sakit buko-buko;may masakit buko-buko;masakit-buko-buko;masakit buko buko;masakit bukobuko;nagmasakit buko-buko;ginmasakit buko-buko,ankle pain,ankle pain,Musculoskeletal,Low,ankle;joint;sprain
sakit buko-buko,masakit buko-buko;ankle pain;may sakit buko-buko;nagsakit buko-buko;sakit buko buko;sakit-buko-buko;sakit bukobuko;ginsakit buko-buko,ankle pain,ankle pain,Musculoskeletal,Low,ankle;joint;sprain
mahina kamot,luya kamot;ginahina kamot;weak hands;mahina-kamot,arm weakness,upper limb weakness,Musculoskeletal,Medium,arm;weak;muscle
weak hands,luya kamot;ginahina kamot;mahina kamot;weak-hands,arm weakness,upper limb weakness,Musculoskeletal,Medium,arm;weak;muscle
back pain,masakit likod;sakit likod;ginasakit likod;panakit likod;back-pain,back pain,back pain,Musculoskeletal,Medium,back;pain;spine;muscle
ginasakit likod,masakit likod;sakit likod;panakit likod;back pain;ginasakit-likod,back pain,back pain,Musculoskeletal,Medium,back;pain;spine;muscle
masakit likod,sakit likod;ginasakit likod;panakit likod;back pain;may masakit likod;nagmasakit likod;masakit-likod;ginmasakit likod,back pain,back pain,Musculoskeletal,Medium,back;pain;spine;muscle
panakit likod,masakit likod;sakit likod;ginasakit likod;back pain;nagpanakit likod;ginpanakit likod;panakit-likod;may panakit likod,back pain,back pain,Musculoskeletal,Medium,back;pain;spine;muscle
sakit likod,masakit likod;ginasakit likod;panakit likod;back pain;sakit-likod;nagsakit likod;ginsakit likod;may sakit likod,back pain,back pain,Musculoskeletal,Medium,back;pain;spine;muscle
ginatulo sing dugo kag hubag,ginatulo-sing-dugo-kag-hubag,bleeding swelling,hematoma,Musculoskeletal,Medium,blood;swelling;trauma
body pain,masakit kalawasan;sakit lawas;kakatol lawas;masakit lawas;sakit kalawasan;body-pain,body pain,myalgia,Musculoskeletal,Low,body;pain;muscle;ache
masakit kalawasan,sakit lawas;kakatol lawas;masakit lawas;sakit kalawasan;body pain;may masakit kalawasan;masakit-kalawasan;nagmasakit kalawasan;ginmasakit kalawasan,body pain,myalgia,Musculoskeletal,Low,body;pain;muscle;ache
masakit lawas,masakit kalawasan;sakit lawas;kakatol lawas;sakit kalawasan;body pain;nagmasakit lawas;ginmasakit lawas;may masakit lawas;masakit-lawas,body pain,myalgia,Musculoskeletal,Low,body;pain;muscle;ache
sakit kalawasan,masakit kalawasan;sakit lawas;kakatol lawas;masakit lawas;body pain;sakit-kalawasan;may sakit kalawasan;ginsakit kalawasan;nagsakit kalawasan,body pain,myalgia,Musculoskeletal,Low,body;pain;muscle;ache
sakit lawas,masakit kalawasan;kakatol lawas;masakit lawas;sakit kalawasan;body pain;sakit-lawas;ginsakit lawas;nagsakit lawas;may sakit lawas,body pain,myalgia,Musculoskeletal,Low,body;pain;muscle;ache
elbow pain,masakit siko;sakit siko;elbow-pain,elbow pain,elbow pain,Musculoskeletal,Low,elbow;joint;pain
masakit siko,elbow pain;sakit siko;may masakit siko;ginmasakit siko;masakit-siko;nagmasakit siko,elbow pain,elbow pain,Musculoskeletal,Low,elbow;joint;pain
sakit siko,masakit siko;elbow pain;may sakit siko;sakit-siko;ginsakit siko;nagsakit siko,elbow pain,elbow pain,Musculoskeletal,Low,elbow;joint;pain
breathless climbing,nagadula ginhawa mag bukton;breathless-climbing,exertional breathlessness,exertional dyspnea,Musculoskeletal,Medium,breath;exertion
nagadula ginhawa mag bukton,breathless climbing;nagadula-ginhawa-mag-bukton,exertional breathlessness,exertional dyspnea,Musculoskeletal,Medium,breath;exertion
foot pain,masakit paa;sakit paa;foot-pain,foot pain,foot pain,Musculoskeletal,Low,foot;pain;walk
masakit paa,foot pain;sakit paa;nagmasakit paa;masakit-paa;may masakit paa;ginmasakit paa,foot pain,foot pain,Musculoskeletal,Low,foot;pain;walk
sakit paa,masakit paa;foot pain;ginsakit paa;may sakit paa;nagsakit paa;sakit-paa,foot pain,foot pain,Musculoskeletal,Low,foot;pain;walk
nagapamulang tiil,swollen foot;nagapamulang-tiil,foot swelling,foot edema,Musculoskeletal,Medium,foot;swelling;injury
swollen foot,nagapamulang tiil;swollen-foot,foot swelling,foot edema,Musculoskeletal,Medium,foot;swelling;injury
nagapamulang kamot,swollen hand;nagapamulang-kamot,hand swelling,hand edema,Musculoskeletal,Medium,hand;swelling;injury
swollen hand,nagapamulang kamot;swollen-hand,hand swelling,hand edema,Musculoskeletal,Medium,hand;swelling;injury
nagakurog sendi,stiff joints;rigidity;nagakurog-sendi,joint stiffness,joint stiffness,Musculoskeletal,Medium,joint;stiff;arthritis
rigidity,nagakurog sendi;stiff joints,joint stiffness,joint stiffness,Musculoskeletal,Medium,joint;stiff;arthritis
stiff joints,nagakurog sendi;rigidity;stiff-joints,joint stiffness,joint stiffness,Musculoskeletal,Medium,joint;stiff;arthritis
hubag sendi,nagapamulang sendi;swollen joints;naghubag sendi;hubag-sendi;may hubag sendi;ginhubag sendi,joint swelling,arthritis,Musculoskeletal,Medium,joint;swelling;arthritis
nagapamulang sendi,swollen joints;hubag sendi;nagapamulang-sendi,joint swelling,arthritis,Musculoskeletal,Medium,joint;swelling;arthritis
swollen joints,nagapamulang sendi;hubag sendi;swollen-joints,joint swelling,arthritis,Musculoskeletal,Medium,joint;swelling;arthritis
ginasakit tuhod,masakit tuhod;sakit tuhod;knee pain;ginasakit-tuhod,knee pain,knee pain,Musculoskeletal,Medium,knee;pain;joint
knee pain,masakit tuhod;sakit tuhod;ginasakit tuhod;knee-pain,knee pain,knee pain,Musculoskeletal,Medium,knee;pain;joint
masakit tuhod,sakit tuhod;ginasakit tuhod;knee pain;ginmasakit tuhod;nagmasakit tuhod;may masakit tuhod;masakit-tuhod,knee pain,knee pain,Musculoskeletal,Medium,knee;pain;joint
sakit tuhod,masakit tuhod;ginasakit tuhod;knee pain;ginsakit tuhod;nagsakit tuhod;may sakit tuhod;sakit-tuhod,knee pain,knee pain,Musculoskeletal,Medium,knee;pain;joint
mahina tiil,luya tiil;ginahina tiil;weak legs;mahina-tiil,leg weakness,lower limb weakness,Musculoskeletal,Medium,leg;weak;muscle
weak legs,luya tiil;ginahina tiil;mahina tiil;weak-legs,leg weakness,lower limb weakness,Musculoskeletal,Medium,leg;weak;muscle
masakit liog,neck pain;sakit liog;ginmasakit liog;masakit-liog;nagmasakit liog;may masakit liog,neck pain,neck pain,Musculoskeletal,Low,neck;pain;cervical
neck pain,masakit liog;sakit liog;neck-pain,neck pain,neck pain,Musculoskeletal,Low,neck;pain;cervical
sakit liog,masakit liog;neck pain;may sakit liog;sakit-liog;nagsakit liog;ginsakit liog,neck pain,neck pain,Musculoskeletal,Low,neck;pain;cervical
limited movement,nagadula lihok;limited-movement,reduced mobility,reduced mobility,Musculoskeletal,Medium,mobility;joint;pain
nagadula lihok,limited movement;nagadula-lihok,reduced mobility,reduced mobility,Musculoskeletal,Medium,mobility;joint;pain
masakit balikat,shoulder pain;sakit balikat;may masakit balikat;masakit-balikat;ginmasakit balikat;nagmasakit balikat,shoulder pain,shoulder pain,Musculoskeletal,Medium,shoulder;joint;pain
sakit balikat,masakit balikat;shoulder pain;nagsakit balikat;ginsakit balikat;may sakit balikat;sakit-balikat,shoulder pain,shoulder pain,Musculoskeletal,Medium,shoulder;joint;pain
shoulder pain,masakit balikat;sakit balikat;shoulder-pain,shoulder pain,shoulder pain,Musculoskeletal,Medium,shoulder;joint;pain
nagapilas,sprain;napilas,sprain,sprain,Musculoskeletal,Medium,sprain;ligament;injury
napilas,nagapilas;sprain,sprain,sprain,Musculoskeletal,Medium,sprain;ligament;injury
sprain,nagapilas;napilas,sprain,sprain,Musculoskeletal,Medium,sprain;ligament;injury
ginahina kamot,nagaluya kamot;weak arm;luya kamot;ginahina-kamot,arm weakness,upper limb weakness,Neurological,High,arm;weak;stroke
luya kamot,nagaluya kamot;weak arm;ginahina kamot;may luya kamot;ginluya kamot;nagluya kamot;luya-kamot,arm weakness,upper limb weakness,Neurological,High,arm;weak;stroke
nagaluya kamot,weak arm;luya kamot;ginahina kamot;nagaluya-kamot,arm weakness,upper limb weakness,Neurological,High,arm;weak;stroke
weak arm,nagaluya kamot;luya kamot;ginahina kamot;weak-arm,arm weakness,upper limb weakness,Neurological,High,arm;weak;stroke
nagakurog lawas,shaking body;nagakurog-lawas,body tremor,tremor,Neurological,Medium,tremor;shaking;fever
shaking body,nagakurog lawas;shaking-body,body tremor,tremor,Neurological,Medium,tremor;shaking;fever
double vision,nagatulin panulok;double-vision,diplopia,diplopia,Neurological,High,vision;double;neuro
nagatulin panulok,double vision;nagatulin-panulok,diplopia,diplopia,Neurological,High,vision;double;neuro
ginahilo,kalipong;nalipong;nagalipong;nahihilo;nahilo;ginakalipong;lipong,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
ginakalipong,kalipong;nalipong;nagalipong;nahihilo;nahilo;lipong;ginahilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
kalipong,nalipong;nagalipong;nahihilo;nahilo;ginakalipong;lipong;ginahilo;nagkalipong;ginkalipong;may kalipong,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
lipong,kalipong;nalipong;nagalipong;nahihilo;nahilo;ginakalipong;ginahilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
nagalipong,kalipong;nalipong;nahihilo;nahilo;ginakalipong;lipong;ginahilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
nahihilo,kalipong;nalipong;nagalipong;nahilo;ginakalipong;lipong;ginahilo;nagnahihilo;may nahihilo;ginnahihilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
nahilo,kalipong;nalipong;nagalipong;nahihilo;ginakalipong;lipong;ginahilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
nalipong,kalipong;nagalipong;nahihilo;nahilo;ginakalipong;lipong;ginahilo,dizziness,dizziness,Neurological,Medium,dizzy;vertigo;balance
nagadula balatyag,numb face;nagadula-balatyag,facial numbness,facial paresthesia,Neurological,High,face;numb;stroke
numb face,nagadula balatyag;numb-face,facial numbness,facial paresthesia,Neurological,High,face;numb;stroke
ginahina lawas,nagaluya lawas;weakness body;luya lawas;ginahina-lawas,generalized weakness,asthenia,Neurological,Medium,weak;fatigue;paralysis
luya lawas,nagaluya lawas;weakness body;ginahina lawas;ginluya lawas;may luya lawas;luya-lawas;nagluya lawas,generalized weakness,asthenia,Neurological,Medium,weak;fatigue;paralysis
nagaluya lawas,weakness body;luya lawas;ginahina lawas;nagaluya-lawas,generalized weakness,asthenia,Neurological,Medium,weak;fatigue;paralysis
weakness body,nagaluya lawas;luya lawas;ginahina lawas;weakness-body,generalized weakness,asthenia,Neurological,Medium,weak;fatigue;paralysis
nagakurog kamot,shaking hands;nagakurog-kamot,hand tremor,tremor,Neurological,Low,tremor;hand;parkinson
shaking hands,nagakurog kamot;shaking-hands,hand tremor,tremor,Neurological,Low,tremor;hand;parkinson
aking ulo,sakit ulo;masakit ulo;ulo masakit;sakit sang ulo;labad ulo;labad ang ulo;ginasakit ulo;masakit gid akon ulo;sakit sa ulo;nagaking ulo;ginaking ulo;aking-ulo;may aking ulo,headache,cephalalgia,Neurological,Medium,head;pain;migraine;cephalgia
