hiligaynon_term,english_term,medical_category,severity,triage_level,status,body_part,symptom
budlay magginhawa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa ko dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa akon dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa ko akon dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa akon ko dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe gid dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe gid dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe gid dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe gid dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa grabe gid dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa sa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa sa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa sa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa sa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
may budlay magginhawa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
dalunggan ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
dalunggan akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
dalunggan ko akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
dalunggan akon ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
ko dalunggan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
akon dalunggan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
ko akon dalunggan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
akon ko dalunggan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid ko dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid akon dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid ko akon dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa gid akon ko dalunggan,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
gid budlay magginhawa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe budlay magginhawa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe gid budlay magginhawa dalunggan ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
gid budlay magginhawa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe budlay magginhawa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe gid budlay magginhawa dalunggan akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
gid budlay magginhawa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe budlay magginhawa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe gid budlay magginhawa dalunggan ko akon,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
gid budlay magginhawa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe budlay magginhawa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
grabe gid budlay magginhawa dalunggan akon ko,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
dalunggan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,ear,difficulty breathing
budlay magginhawa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ko ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa akon ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ko akon ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa akon ko ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe gid ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe gid ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe gid ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe gid ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa grabe gid ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa sa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa sa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa sa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa sa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
may budlay magginhawa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ngabil ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ngabil akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ngabil ko akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ngabil akon ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ko ngabil budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
akon ngabil budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ko akon ngabil budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
akon ko ngabil budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ko ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid akon ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid ko akon ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa gid akon ko ngabil,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
gid budlay magginhawa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe budlay magginhawa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe gid budlay magginhawa ngabil ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
gid budlay magginhawa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe budlay magginhawa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe gid budlay magginhawa ngabil akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
gid budlay magginhawa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe budlay magginhawa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe gid budlay magginhawa ngabil ko akon,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
gid budlay magginhawa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe budlay magginhawa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
grabe gid budlay magginhawa ngabil akon ko,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
ngabil budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,lip,difficulty breathing
budlay magginhawa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa ko dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa akon dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa ko akon dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa akon ko dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe gid dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe gid dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe gid dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe gid dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa grabe gid dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa sa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa sa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa sa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa sa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
may budlay magginhawa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
dughan ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
dughan akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
dughan ko akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
dughan akon ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
ko dughan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
akon dughan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
ko akon dughan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
akon ko dughan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid ko dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid akon dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid ko akon dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa gid akon ko dughan,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
gid budlay magginhawa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe budlay magginhawa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe gid budlay magginhawa dughan ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
gid budlay magginhawa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe budlay magginhawa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe gid budlay magginhawa dughan akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
gid budlay magginhawa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe budlay magginhawa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe gid budlay magginhawa dughan ko akon,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
gid budlay magginhawa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe budlay magginhawa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
grabe gid budlay magginhawa dughan akon ko,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
dughan budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,chest,difficulty breathing
budlay magginhawa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa ko pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa akon pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa ko akon pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa akon ko pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe gid pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe gid pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe gid pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe gid pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa grabe gid pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa sa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa sa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa sa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa sa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
may budlay magginhawa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
pisngi ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
pisngi akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
pisngi ko akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
pisngi akon ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
ko pisngi budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
akon pisngi budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
ko akon pisngi budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
akon ko pisngi budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid ko pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid akon pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid ko akon pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa gid akon ko pisngi,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
gid budlay magginhawa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe budlay magginhawa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe gid budlay magginhawa pisngi ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
gid budlay magginhawa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe budlay magginhawa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe gid budlay magginhawa pisngi akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
gid budlay magginhawa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe budlay magginhawa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe gid budlay magginhawa pisngi ko akon,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
gid budlay magginhawa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe budlay magginhawa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
grabe gid budlay magginhawa pisngi akon ko,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
pisngi budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,cheek,difficulty breathing
budlay magginhawa tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa ko tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa akon tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa ko akon tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa akon ko tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe gid tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe gid tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe gid tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe gid tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa grabe gid tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa sa tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa sa tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa sa tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa sa tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa tungod ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa tungod akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa tungod ko akon,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
may budlay magginhawa tungod akon ko,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
tungod ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
tungod akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
tungod ko akon budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
tungod akon ko budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
ko tungod budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
akon tungod budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
ko akon tungod budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
akon ko tungod budlay magginhawa,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
budlay magginhawa gid ko tungod,difficulty breathing,respiratory,Critical,emergency,active,throat,difficulty breathing
