phrase,english,concept,language,status
abnormal fingernail development,Abnormal Fingernail Development,abnormal_fingernail_development,english,active
abnormal fingernail morphology,Abnormal Fingernail Morphology,abnormal_fingernail_morphology,english,active
abnormal fingernails,Abnormal Fingernails,abnormal_fingernails,english,active
abnormal fingerprints,Abnormal Fingerprints,abnormal_fingerprints,english,active
abnormal fingertip morphology,Abnormal Fingertip Morphology,abnormal_fingertip_morphology,english,active
abnormal flash visual evoked potentials,Abnormal Flash Visual Evoked Potentials,abnormal_flash_visual_evoked_potentials,english,active
abnormal flow cytometry test result,Abnormal Flow Cytometry Test Result,abnormal_flow_cytometry_test_result,english,active
abnormal foetal cns morphology,Abnormal Foetal CNS Morphology,abnormal_foetal_cns_morphology,english,active
abnormal follicular lymph-node architecture,Abnormal Follicular Lymph-node Architecture,abnormal_follicular_lymph-node_architecture,english,active
abnormal fontanelle morphology,Abnormal Fontanelle Morphology,abnormal_fontanelle_morphology,english,active
abnormal foot bone ossification,Abnormal Foot Bone Ossification,abnormal_foot_bone_ossification,english,active
abnormal foot morphology,Abnormal Foot Morphology,abnormal_foot_morphology,english,active
abnormal foot muscles,Abnormal Foot Muscles,abnormal_foot_muscles,english,active
abnormal foramen magnum morphology,Abnormal Foramen Magnum Morphology,abnormal_foramen_magnum_morphology,english,active
abnormal forearm bone morphology,Abnormal Forearm Bone Morphology,abnormal_forearm_bone_morphology,english,active
abnormal forearm morphology,Abnormal Forearm Morphology,abnormal_forearm_morphology,english,active
abnormal forebrain morphology,Abnormal Forebrain Morphology,abnormal_forebrain_morphology,english,active
abnormal forehead morphology,Abnormal Forehead Morphology,abnormal_forehead_morphology,english,active
abnormal form of ears,Abnormal Form of Ears,abnormal_form_of_ears,english,active
abnormal form of phalanges of the hand,Abnormal Form of Phalanges of the Hand,abnormal_form_of_phalanges_of_the_hand,english,active
abnormal form of the vertebral bodies,Abnormal Form of the Vertebral Bodies,abnormal_form_of_the_vertebral_bodies,english,active
abnormal formation of myelin sheaths,Abnormal Formation of Myelin Sheaths,abnormal_formation_of_myelin_sheaths,english,active
abnormal forward flexion of the trunk manoeuvre,Abnormal Forward Flexion of the Trunk Manoeuvre,abnormal_forward_flexion_of_the_trunk_manoeuvre,english,active
abnormal four chamber view,Abnormal Four Chamber View,abnormal_four_chamber_view,english,active
abnormal four chamber view of the fetal heart,Abnormal Four Chamber View of the Fetal Heart,abnormal_four_chamber_view_of_the_fetal_heart,english,active
abnormal fourth toe morphology,Abnormal Fourth Toe Morphology,abnormal_fourth_toe_morphology,english,active
abnormal fourth ventricle morphology,Abnormal Fourth Ventricle Morphology,abnormal_fourth_ventricle_morphology,english,active
abnormal foveal morphology,Abnormal Foveal Morphology,abnormal_foveal_morphology,english,active
abnormal foveal morphology on macular oct,Abnormal Foveal Morphology On Macular OCT,abnormal_foveal_morphology_on_macular_oct,english,active
abnormal foveal pigmentation,Abnormal Foveal Pigmentation,abnormal_foveal_pigmentation,english,active
abnormal foveal pit on macular oct,Abnormal Foveal Pit On Macular OCT,abnormal_foveal_pit_on_macular_oct,english,active
abnormal frontal bone morphology,Abnormal Frontal Bone Morphology,abnormal_frontal_bone_morphology,english,active
abnormal frontalis muscle physiology,Abnormal Frontalis Muscle Physiology,abnormal_frontalis_muscle_physiology,english,active
abnormal fucosylation of o-linked protein glycosylation,Abnormal Fucosylation of O-linked Protein Glycosylation,abnormal_fucosylation_of_o-linked_protein_glycosylation,english,active
abnormal fucosylation of protein n-linked glycosylation,Abnormal Fucosylation of Protein N-linked Glycosylation,abnormal_fucosylation_of_protein_n-linked_glycosylation,english,active
abnormal full-field electroretinogram,Abnormal Full-field Electroretinogram,abnormal_full-field_electroretinogram,english,active
abnormal function of filtrating structures in kidney,Abnormal Function of Filtrating Structures in Kidney,abnormal_function_of_filtrating_structures_in_kidney,english,active
abnormal functional residual capacity,Abnormal Functional Residual Capacity,abnormal_functional_residual_capacity,english,active
abnormal fundus autofluorescence imaging,Abnormal Fundus Autofluorescence Imaging,abnormal_fundus_autofluorescence_imaging,english,active
abnormal fundus fluorescein angiography,Abnormal Fundus Fluorescein Angiography,abnormal_fundus_fluorescein_angiography,english,active
abnormal fundus morphology,Abnormal Fundus Morphology,abnormal_fundus_morphology,english,active
abnormal fundus pigmentation,Abnormal Fundus Pigmentation,abnormal_fundus_pigmentation,english,active
abnormal g6pd level,Abnormal G6PD Level,abnormal_g6pd_level,english,active
abnormal g6pd level in blood,Abnormal G6PD Level in Blood,abnormal_g6pd_level_in_blood,english,active
abnormal g6pd level in dried blood spot,Abnormal G6PD Level in Dried Blood Spot,abnormal_g6pd_level_in_dried_blood_spot,english,active
abnormal g6pd level in leukocytes,Abnormal G6PD Level in Leukocytes,abnormal_g6pd_level_in_leukocytes,english,active
abnormal g6pd level in rbcs,Abnormal G6PD Level in RBCs,abnormal_g6pd_level_in_rbcs,english,active
abnormal g6pd level in red blood cells,Abnormal G6PD Level in Red Blood Cells,abnormal_g6pd_level_in_red_blood_cells,english,active
abnormal g6pd level in tissue,Abnormal G6PD Level in Tissue,abnormal_g6pd_level_in_tissue,english,active
abnormal gait,Abnormal Gait,abnormal_gait,english,active
abnormal galactosidase enyzme activity,Abnormal Galactosidase Enyzme Activity,abnormal_galactosidase_enyzme_activity,english,active
abnormal gallbladder morphology,Abnormal Gallbladder Morphology,abnormal_gallbladder_morphology,english,active
abnormal gallbladder physiology,Abnormal Gallbladder Physiology,abnormal_gallbladder_physiology,english,active
abnormal gallbladder structure,Abnormal Gallbladder Structure,abnormal_gallbladder_structure,english,active
abnormal gametogenesis,Abnormal Gametogenesis,abnormal_gametogenesis,english,active
abnormal gamma-delta t cell proportion,Abnormal Gamma-delta T Cell Proportion,abnormal_gamma-delta_t_cell_proportion,english,active
abnormal gamma-glutamyltransferase level,Abnormal Gamma-glutamyltransferase Level,abnormal_gamma-glutamyltransferase_level,english,active
abnormal ganglion morphology,Abnormal Ganglion Morphology,abnormal_ganglion_morphology,english,active
abnormal gastric mucosa morphology,Abnormal Gastric Mucosa Morphology,abnormal_gastric_mucosa_morphology,english,active
abnormal gastrointestinal motility,Abnormal Gastrointestinal Motility,abnormal_gastrointestinal_motility,english,active
abnormal gastrointestinal tract morphology,Abnormal Gastrointestinal Tract Morphology,abnormal_gastrointestinal_tract_morphology,english,active
abnormal gastrointestinal transit time,Abnormal Gastrointestinal Transit Time,abnormal_gastrointestinal_transit_time,english,active
abnormal gastrointestinal vascular morphology,Abnormal Gastrointestinal Vascular Morphology,abnormal_gastrointestinal_vascular_morphology,english,active
abnormal geniohyoid muscle morphology,Abnormal Geniohyoid Muscle Morphology,abnormal_geniohyoid_muscle_morphology,english,active
abnormal genital pigmentation,Abnormal Genital Pigmentation,abnormal_genital_pigmentation,english,active
abnormal genital system morphology,Abnormal Genital System Morphology,abnormal_genital_system_morphology,english,active
abnormal germ cell morphology,Abnormal Germ Cell Morphology,abnormal_germ_cell_morphology,english,active
abnormal gesture use,Abnormal Gesture Use,abnormal_gesture_use,english,active
abnormal gestures,Abnormal Gestures,abnormal_gestures,english,active
abnormal gfr,Abnormal GFR,abnormal_gfr,english,active
abnormal gi motility,Abnormal GI Motility,abnormal_gi_motility,english,active
abnormal gi transit time,Abnormal GI Transit Time,abnormal_gi_transit_time,english,active
abnormal glial cell morphology,Abnormal Glial Cell Morphology,abnormal_glial_cell_morphology,english,active
abnormal globus pallidus morphology,Abnormal Globus Pallidus Morphology,abnormal_globus_pallidus_morphology,english,active
abnormal glomerular basement membrane morphology,Abnormal Glomerular Basement Membrane Morphology,abnormal_glomerular_basement_membrane_morphology,english,active
abnormal glomerular basement membrane texture,Abnormal Glomerular Basement Membrane Texture,abnormal_glomerular_basement_membrane_texture,english,active
abnormal glomerular capillary lumen morphology,Abnormal Glomerular Capillary Lumen Morphology,abnormal_glomerular_capillary_lumen_morphology,english,active
abnormal glomerular capillary morphology,Abnormal Glomerular Capillary Morphology,abnormal_glomerular_capillary_morphology,english,active
abnormal glomerular endothelial cell morphology,Abnormal Glomerular Endothelial Cell Morphology,abnormal_glomerular_endothelial_cell_morphology,english,active
abnormal glomerular filtration rate,Abnormal Glomerular Filtration Rate,abnormal_glomerular_filtration_rate,english,active
abnormal glomerular mesangial cellularity,Abnormal Glomerular Mesangial Cellularity,abnormal_glomerular_mesangial_cellularity,english,active
abnormal glomerular mesangial matrix morphology,Abnormal Glomerular Mesangial Matrix Morphology,abnormal_glomerular_mesangial_matrix_morphology,english,active
abnormal glomerular mesangium morphology,Abnormal Glomerular Mesangium Morphology,abnormal_glomerular_mesangium_morphology,english,active
abnormal glomerular parietal epithelial cell morphology,Abnormal Glomerular Parietal Epithelial Cell Morphology,abnormal_glomerular_parietal_epithelial_cell_morphology,english,active
abnormal glomerular visceral epithelial cell morphology,Abnormal Glomerular Visceral Epithelial Cell Morphology,abnormal_glomerular_visceral_epithelial_cell_morphology,english,active
abnormal glossopharyngeal nerve morphology,Abnormal Glossopharyngeal Nerve Morphology,abnormal_glossopharyngeal_nerve_morphology,english,active
abnormal glucagon level,Abnormal Glucagon Level,abnormal_glucagon_level,english,active
abnormal glucose homeostasis,Abnormal Glucose Homeostasis,abnormal_glucose_homeostasis,english,active
abnormal glucose oral tolerance test,Abnormal Glucose Oral Tolerance Test,abnormal_glucose_oral_tolerance_test,english,active
abnormal glucose-6-phosphate dehydrogenase level,Abnormal Glucose-6-phosphate Dehydrogenase Level,abnormal_glucose-6-phosphate_dehydrogenase_level,english,active
abnormal glucose-6-phosphate dehydrogenase level in blood,Abnormal Glucose-6-phosphate Dehydrogenase Level in Blood,abnormal_glucose-6-phosphate_dehydrogenase_level_in_blood,english,active
abnormal glucose-6-phosphate dehydrogenase level in dbs,Abnormal Glucose-6-phosphate Dehydrogenase Level in DBS,abnormal_glucose-6-phosphate_dehydrogenase_level_in_dbs,english,active
abnormal glucose-6-phosphate dehydrogenase level in dried blood spot,Abnormal Glucose-6-phosphate Dehydrogenase Level in Dried Blood Spot,abnormal_glucose-6-phosphate_dehydrogenase_level_in_dried_bl,english,active
abnormal glucose-6-phosphate dehydrogenase level in leukocytes,Abnormal Glucose-6-phosphate Dehydrogenase Level in Leukocytes,abnormal_glucose-6-phosphate_dehydrogenase_level_in_leukocyt,english,active
abnormal glucose-6-phosphate dehydrogenase level in red blood cells,Abnormal Glucose-6-phosphate Dehydrogenase Level in Red Blood Cells,abnormal_glucose-6-phosphate_dehydrogenase_level_in_red_bloo,english,active
abnormal glucose-6-phosphate dehydrogenase level in tissue,Abnormal Glucose-6-phosphate Dehydrogenase Level in Tissue,abnormal_glucose-6-phosphate_dehydrogenase_level_in_tissue,english,active
abnormal glutamic acid levels in cerebrospinal fluid,Abnormal Glutamic Acid Levels in Cerebrospinal Fluid,abnormal_glutamic_acid_levels_in_cerebrospinal_fluid,english,active
abnormal glutamine family amino acid levels in cerebrospinal fluid,Abnormal Glutamine Family Amino Acid Levels in Cerebrospinal Fluid,abnormal_glutamine_family_amino_acid_levels_in_cerebrospinal,english,active
abnormal glutamine levels in cerebrospinal fluid,Abnormal Glutamine Levels in Cerebrospinal Fluid,abnormal_glutamine_levels_in_cerebrospinal_fluid,english,active
abnormal glycine levels in cerebrospinal fluid,Abnormal Glycine Levels in Cerebrospinal Fluid,abnormal_glycine_levels_in_cerebrospinal_fluid,english,active
abnormal glycosidase enzyme activity,Abnormal Glycosidase Enzyme Activity,abnormal_glycosidase_enzyme_activity,english,active
abnormal glycosphingolipid metabolism,Abnormal Glycosphingolipid Metabolism,abnormal_glycosphingolipid_metabolism,english,active
abnormal glycosylation,Abnormal Glycosylation,abnormal_glycosylation,english,active
abnormal gmp pyrophosphorylase level,Abnormal GMP Pyrophosphorylase Level,abnormal_gmp_pyrophosphorylase_level,english,active
abnormal gonadotropin-releasing hormone concentration,Abnormal Gonadotropin-releasing Hormone Concentration,abnormal_gonadotropin-releasing_hormone_concentration,english,active
abnormal gprt level,Abnormal GPRT Level,abnormal_gprt_level,english,active
abnormal granulocyte count,Abnormal Granulocyte Count,abnormal_granulocyte_count,english,active
abnormal granulocyte morphology,Abnormal Granulocyte Morphology,abnormal_granulocyte_morphology,english,active
abnormal granulocytopoietic cell morphology,Abnormal Granulocytopoietic Cell Morphology,abnormal_granulocytopoietic_cell_morphology,english,active
abnormal great auricular nerve morphology,Abnormal Great Auricular Nerve Morphology,abnormal_great_auricular_nerve_morphology,english,active
abnormal greater palatine artery morphology,Abnormal Greater Palatine Artery Morphology,abnormal_greater_palatine_artery_morphology,english,active
abnormal greater sciatic notch morphology,Abnormal Greater Sciatic Notch Morphology,abnormal_greater_sciatic_notch_morphology,english,active
abnormal growth,Abnormal Growth,abnormal_growth,english,active
abnormal growth hormone level,Abnormal Growth Hormone Level,abnormal_growth_hormone_level,english,active
abnormal growth plate morphology,Abnormal Growth Plate Morphology,abnormal_growth_plate_morphology,english,active
abnormal gyration,Abnormal Gyration,abnormal_gyration,english,active
abnormal haemoglobin,Abnormal Haemoglobin,abnormal_haemoglobin,english,active
abnormal haemoglobin concentration,Abnormal Haemoglobin Concentration,abnormal_haemoglobin_concentration,english,active
abnormal hair morphology,Abnormal Hair Morphology,abnormal_hair_morphology,english,active
abnormal hair pattern,Abnormal Hair Pattern,abnormal_hair_pattern,english,active
abnormal hair pattern since birth,Abnormal Hair Pattern Since Birth,abnormal_hair_pattern_since_birth,english,active
abnormal hair quantity,Abnormal Hair Quantity,abnormal_hair_quantity,english,active
abnormal hair whorl,Abnormal Hair Whorl,abnormal_hair_whorl,english,active
abnormal hair whorls,Abnormal Hair Whorls,abnormal_hair_whorls,english,active
abnormal hairshaft morphology,Abnormal Hairshaft Morphology,abnormal_hairshaft_morphology,english,active
abnormal hallux morphology,Abnormal Hallux Morphology,abnormal_hallux_morphology,english,active
abnormal hallux phalanx morphology,Abnormal Hallux Phalanx Morphology,abnormal_hallux_phalanx_morphology,english,active
abnormal hamate bone morphology,Abnormal Hamate Bone Morphology,abnormal_hamate_bone_morphology,english,active
abnormal hand bone ossification,Abnormal Hand Bone Ossification,abnormal_hand_bone_ossification,english,active
abnormal hand cortical bone morphology,Abnormal Hand Cortical Bone Morphology,abnormal_hand_cortical_bone_morphology,english,active
abnormal hand diaphysis morphology,Abnormal Hand Diaphysis Morphology,abnormal_hand_diaphysis_morphology,english,active
abnormal hand epiphysis morphology,Abnormal Hand Epiphysis Morphology,abnormal_hand_epiphysis_morphology,english,active
abnormal hand metaphysis morphology,Abnormal Hand Metaphysis Morphology,abnormal_hand_metaphysis_morphology,english,active
abnormal hand morphology,Abnormal Hand Morphology,abnormal_hand_morphology,english,active
abnormal hand muscles,Abnormal Hand Muscles,abnormal_hand_muscles,english,active
abnormal hands,Abnormal Hands,abnormal_hands,english,active
abnormal haptoglobin level,Abnormal Haptoglobin Level,abnormal_haptoglobin_level,english,active
abnormal hard palate morphology,Abnormal Hard Palate Morphology,abnormal_hard_palate_morphology,english,active
abnormal hardy-rand-rittler plate test,Abnormal Hardy-Rand-Rittler Plate Test,abnormal_hardy-rand-rittler_plate_test,english,active
abnormal hb,Abnormal Hb,abnormal_hb,english,active
abnormal hb concentration,Abnormal Hb Concentration,abnormal_hb_concentration,english,active
abnormal hct,Abnormal Hct,abnormal_hct,english,active
abnormal hdl cholesterol concentration,Abnormal HDL Cholesterol Concentration,abnormal_hdl_cholesterol_concentration,english,active
abnormal hdl subfraction concentration,Abnormal HDL Subfraction Concentration,abnormal_hdl_subfraction_concentration,english,active
abnormal hdl2a concentration,Abnormal HDL2a Concentration,abnormal_hdl2a_concentration,english,active
abnormal hdl2b concentration,Abnormal HDL2b Concentration,abnormal_hdl2b_concentration,english,active
abnormal hdl3a concentration,Abnormal HDL3a Concentration,abnormal_hdl3a_concentration,english,active
abnormal hdl3b concentration,Abnormal HDL3b Concentration,abnormal_hdl3b_concentration,english,active
abnormal hdl3c concentration,Abnormal HDL3c Concentration,abnormal_hdl3c_concentration,english,active
abnormal head,Abnormal Head,abnormal_head,english,active
abnormal head blood vessel morphology,Abnormal Head Blood Vessel Morphology,abnormal_head_blood_vessel_morphology,english,active
abnormal head movements,Abnormal Head Movements,abnormal_head_movements,english,active
abnormal head of long bone in upper arm,Abnormal Head of Long Bone in Upper Arm,abnormal_head_of_long_bone_in_upper_arm,english,active
abnormal head of thigh bone,Abnormal Head of Thigh Bone,abnormal_head_of_thigh_bone,english,active
abnormal hearing,Abnormal Hearing,abnormal_hearing,english,active
abnormal heart left ventricle morphology,Abnormal Heart Left Ventricle Morphology,abnormal_heart_left_ventricle_morphology,english,active
abnormal heart morphology,Abnormal Heart Morphology,abnormal_heart_morphology,english,active
abnormal heart mri,Abnormal Heart MRI,abnormal_heart_mri,english,active
abnormal heart rate,Abnormal Heart Rate,abnormal_heart_rate,english,active
abnormal heart rate variability,Abnormal Heart Rate Variability,abnormal_heart_rate_variability,english,active
abnormal heart sound,Abnormal Heart Sound,abnormal_heart_sound,english,active
abnormal heart valve morphology,Abnormal Heart Valve Morphology,abnormal_heart_valve_morphology,english,active
abnormal heart valve physiology,Abnormal Heart Valve Physiology,abnormal_heart_valve_physiology,english,active
abnormal heel bone,Abnormal Heel Bone,abnormal_heel_bone,english,active
abnormal helices,Abnormal Helices,abnormal_helices,english,active
abnormal helix morphology,Abnormal Helix Morphology,abnormal_helix_morphology,english,active
abnormal helper t cell proportion,Abnormal Helper T Cell Proportion,abnormal_helper_t_cell_proportion,english,active
abnormal hematocrit,Abnormal Hematocrit,abnormal_hematocrit,english,active
abnormal hemidiaphragm morphology,Abnormal Hemidiaphragm Morphology,abnormal_hemidiaphragm_morphology,english,active
abnormal hemoglobin,Abnormal Hemoglobin,abnormal_hemoglobin,english,active
abnormal hemoglobin concentration,Abnormal Hemoglobin Concentration,abnormal_hemoglobin_concentration,english,active
abnormal hepatic artery morphology,Abnormal Hepatic Artery Morphology,abnormal_hepatic_artery_morphology,english,active
abnormal hepatic echogenicity,Abnormal Hepatic Echogenicity,abnormal_hepatic_echogenicity,english,active
abnormal hepatic enzyme activity or concentration,Abnormal Hepatic Enzyme Activity or Concentration,abnormal_hepatic_enzyme_activity_or_concentration,english,active
abnormal hepatic glycogen storage,Abnormal Hepatic Glycogen Storage,abnormal_hepatic_glycogen_storage,english,active
abnormal hepatic iron concentration,Abnormal Hepatic Iron Concentration,abnormal_hepatic_iron_concentration,english,active
abnormal hepatic physiology,Abnormal Hepatic Physiology,abnormal_hepatic_physiology,english,active
abnormal hepatobiliary system physiology,Abnormal Hepatobiliary System Physiology,abnormal_hepatobiliary_system_physiology,english,active
abnormal hepatocyte morphology,Abnormal Hepatocyte Morphology,abnormal_hepatocyte_morphology,english,active
abnormal hepcidin level,Abnormal Hepcidin Level,abnormal_hepcidin_level,english,active
abnormal high-mannose n-glycan level,Abnormal High-mannose N-glycan Level,abnormal_high-mannose_n-glycan_level,english,active
abnormal high-mannose n-glycans on glycoprotein concentration,Abnormal High-mannose N-glycans On Glycoprotein Concentration,abnormal_high-mannose_n-glycans_on_glycoprotein_concentratio,english,active
abnormal hindbrain morphology,Abnormal Hindbrain Morphology,abnormal_hindbrain_morphology,english,active
abnormal hip bone morphology,Abnormal Hip Bone Morphology,abnormal_hip_bone_morphology,english,active
abnormal hip joint morphology,Abnormal Hip Joint Morphology,abnormal_hip_joint_morphology,english,active
abnormal hippocampus morphology,Abnormal Hippocampus Morphology,abnormal_hippocampus_morphology,english,active
abnormal histidine levels in cerebrospinal fluid,Abnormal Histidine Levels in Cerebrospinal Fluid,abnormal_histidine_levels_in_cerebrospinal_fluid,english,active
abnormal histolog findings in specimens from oth org/tiss,Abnormal Histolog Findings in Specimens From Oth Org/tiss,abnormal_histolog_findings_in_specimens_from_oth_org/tiss,english,active
abnormal histolog findings in specimens from resp org/thrx,Abnormal Histolog Findings in Specimens From Resp Org/thrx,abnormal_histolog_findings_in_specimens_from_resp_org/thrx,english,active
abnormal histolog findings in specmn from dgstv org/abd cav,Abnormal Histolog Findings in Specmn From Dgstv Org/abd Cav,abnormal_histolog_findings_in_specmn_from_dgstv_org/abd_cav,english,active
abnormal hla class ii surface expression,Abnormal HLA Class II Surface Expression,abnormal_hla_class_ii_surface_expression,english,active
abnormal hla dr+ cd4+ t cell proportion,Abnormal HLA DR+ CD4+ T Cell Proportion,abnormal_hla_dr+_cd4+_t_cell_proportion,english,active
abnormal hla dr+ cd8+ t cell proportion,Abnormal HLA DR+ CD8+ T Cell Proportion,abnormal_hla_dr+_cd8+_t_cell_proportion,english,active
abnormal homeostasis,Abnormal Homeostasis,abnormal_homeostasis,english,active
abnormal homocarnosine levels in cerebrospinal fluid,Abnormal Homocarnosine Levels in Cerebrospinal Fluid,abnormal_homocarnosine_levels_in_cerebrospinal_fluid,english,active
abnormal horizontal ocular pursuit,Abnormal Horizontal Ocular Pursuit,abnormal_horizontal_ocular_pursuit,english,active
abnormal horizontal rectus muscle physiology,Abnormal Horizontal Rectus Muscle Physiology,abnormal_horizontal_rectus_muscle_physiology,english,active
abnormal human leukocyte antigen class ii surface expression,Abnormal Human Leukocyte Antigen Class II Surface Expression,abnormal_human_leukocyte_antigen_class_ii_surface_expression,english,active
abnormal humeral diaphysis morphology,Abnormal Humeral Diaphysis Morphology,abnormal_humeral_diaphysis_morphology,english,active
abnormal humeral epiphysis morphology,Abnormal Humeral Epiphysis Morphology,abnormal_humeral_epiphysis_morphology,english,active
abnormal humeral head morphology,Abnormal Humeral Head Morphology,abnormal_humeral_head_morphology,english,active
abnormal humeral metaphysis morphology,Abnormal Humeral Metaphysis Morphology,abnormal_humeral_metaphysis_morphology,english,active
abnormal humeral ossification,Abnormal Humeral Ossification,abnormal_humeral_ossification,english,active
abnormal humerus morphology,Abnormal Humerus Morphology,abnormal_humerus_morphology,english,active
abnormal hyoglossus muscle morphology,Abnormal Hyoglossus Muscle Morphology,abnormal_hyoglossus_muscle_morphology,english,active
abnormal hyoid bone morphology,Abnormal Hyoid Bone Morphology,abnormal_hyoid_bone_morphology,english,active
abnormal hypnagogia,Abnormal Hypnagogia,abnormal_hypnagogia,english,active
abnormal hypnopompia,Abnormal Hypnopompia,abnormal_hypnopompia,english,active
abnormal hypopharynx morphology,Abnormal Hypopharynx Morphology,abnormal_hypopharynx_morphology,english,active
abnormal hypothalamus morphology,Abnormal Hypothalamus Morphology,abnormal_hypothalamus_morphology,english,active
abnormal hypothalamus physiology,Abnormal Hypothalamus Physiology,abnormal_hypothalamus_physiology,english,active
abnormal hypoxanthine-guanine phosphoribosyltransferase level,Abnormal Hypoxanthine-guanine Phosphoribosyltransferase Level,abnormal_hypoxanthine-guanine_phosphoribosyltransferase_leve,english,active
abnormal iduronate sulfatase concentration,Abnormal Iduronate Sulfatase Concentration,abnormal_iduronate_sulfatase_concentration,english,active
abnormal iga level in blood,Abnormal IgA Level in Blood,abnormal_iga_level_in_blood,english,active
abnormal igd level in blood,Abnormal IgD Level in Blood,abnormal_igd_level_in_blood,english,active
abnormal ige level in blood,Abnormal IgE Level in Blood,abnormal_ige_level_in_blood,english,active
abnormal igg level in blood,Abnormal IgG Level in Blood,abnormal_igg_level_in_blood,english,active
abnormal igm level in blood,Abnormal IgM Level in Blood,abnormal_igm_level_in_blood,english,active
abnormal ileum morphology,Abnormal Ileum Morphology,abnormal_ileum_morphology,english,active
abnormal iliac artery morphology,Abnormal Iliac Artery Morphology,abnormal_iliac_artery_morphology,english,active
abnormal iliac wing morphology,Abnormal Iliac Wing Morphology,abnormal_iliac_wing_morphology,english,active
abnormal ilium morphology,Abnormal Ilium Morphology,abnormal_ilium_morphology,english,active
abnormal immature b cell proportion,Abnormal Immature B Cell Proportion,abnormal_immature_b_cell_proportion,english,active
abnormal immune serum protein physiology,Abnormal Immune Serum Protein Physiology,abnormal_immune_serum_protein_physiology,english,active
abnormal immune system morphology,Abnormal Immune System Morphology,abnormal_immune_system_morphology,english,active
abnormal immunoglobulin concentration,Abnormal Immunoglobulin Concentration,abnormal_immunoglobulin_concentration,english,active
abnormal immunoglobulin level,Abnormal Immunoglobulin Level,abnormal_immunoglobulin_level,english,active
abnormal immunoglobulin level in body fluid,Abnormal Immunoglobulin Level in Body Fluid,abnormal_immunoglobulin_level_in_body_fluid,english,active
abnormal immunolog findings in specimens from oth org/tiss,Abnormal Immunolog Findings in Specimens From Oth Org/tiss,abnormal_immunolog_findings_in_specimens_from_oth_org/tiss,english,active
abnormal immunolog findings in specimens from resp org/thrx,Abnormal Immunolog Findings in Specimens From Resp Org/thrx,abnormal_immunolog_findings_in_specimens_from_resp_org/thrx,english,active
abnormal immunolog findings in specmn from dgstv org/abd cav,Abnormal Immunolog Findings in Specmn From Dgstv Org/abd Cav,abnormal_immunolog_findings_in_specmn_from_dgstv_org/abd_cav,english,active
"abnormal immunological finding in serum, unspecified","Abnormal Immunological Finding in Serum, Unspecified","abnormal_immunological_finding_in_serum,_unspecified",english,active
abnormal immunological findings in cerebrospinal fluid,Abnormal Immunological Findings in Cerebrospinal Fluid,abnormal_immunological_findings_in_cerebrospinal_fluid,english,active
abnormal incisor morphology,Abnormal Incisor Morphology,abnormal_incisor_morphology,english,active
abnormal incisura morphology,Abnormal Incisura Morphology,abnormal_incisura_morphology,english,active
abnormal incus morphology,Abnormal Incus Morphology,abnormal_incus_morphology,english,active
abnormal index finger bones,Abnormal Index Finger Bones,abnormal_index_finger_bones,english,active
abnormal indocyanine green angiography,Abnormal Indocyanine Green Angiography,abnormal_indocyanine_green_angiography,english,active
abnormal inferior alveolar artery morphology,Abnormal Inferior Alveolar Artery Morphology,abnormal_inferior_alveolar_artery_morphology,english,active
abnormal inferior oblique muscle physiology,Abnormal Inferior Oblique Muscle Physiology,abnormal_inferior_oblique_muscle_physiology,english,active
abnormal inferior rectus muscle physiology,Abnormal Inferior Rectus Muscle Physiology,abnormal_inferior_rectus_muscle_physiology,english,active
abnormal inferior thyroid vein morphology,Abnormal Inferior Thyroid Vein Morphology,abnormal_inferior_thyroid_vein_morphology,english,active
abnormal inferior vena cava morphology,Abnormal Inferior Vena Cava Morphology,abnormal_inferior_vena_cava_morphology,english,active
abnormal inflammatory response,Abnormal Inflammatory Response,abnormal_inflammatory_response,english,active
abnormal infraorbital artery morphology,Abnormal Infraorbital Artery Morphology,abnormal_infraorbital_artery_morphology,english,active
abnormal inner ear epithelium morphology,Abnormal Inner Ear Epithelium Morphology,abnormal_inner_ear_epithelium_morphology,english,active
abnormal inner ear morphology,Abnormal Inner Ear Morphology,abnormal_inner_ear_morphology,english,active
abnormal inner ear nerve morphology,Abnormal Inner Ear Nerve Morphology,abnormal_inner_ear_nerve_morphology,english,active
abnormal innermost 4th toe bone,Abnormal Innermost 4th Toe Bone,abnormal_innermost_4th_toe_bone,english,active
abnormal innermost big toe bone,Abnormal Innermost Big Toe Bone,abnormal_innermost_big_toe_bone,english,active
abnormal innermost bone of middle finger,Abnormal Innermost Bone of Middle Finger,abnormal_innermost_bone_of_middle_finger,english,active
abnormal innermost bone of ring finger,Abnormal Innermost Bone of Ring Finger,abnormal_innermost_bone_of_ring_finger,english,active
abnormal innermost index finger bone,Abnormal Innermost Index Finger Bone,abnormal_innermost_index_finger_bone,english,active
abnormal innermost thumb bone,Abnormal Innermost Thumb Bone,abnormal_innermost_thumb_bone,english,active
abnormal innermost toe bone,Abnormal Innermost Toe Bone,abnormal_innermost_toe_bone,english,active
abnormal insertion of umbilical cord,Abnormal Insertion of Umbilical Cord,abnormal_insertion_of_umbilical_cord,english,active
abnormal insulin level,Abnormal Insulin Level,abnormal_insulin_level,english,active
abnormal interatrial septum morphology,Abnormal Interatrial Septum Morphology,abnormal_interatrial_septum_morphology,english,active
abnormal interest,Abnormal Interest,abnormal_interest,english,active
