id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
5096,basin kabalaka daw malala ko halin sang aga gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5097,basin kabalaka daw malala ko halin sang aga man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5098,basin kabalaka sobra ko subong gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5099,basin pirme ko ginakulbaan ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5100,basin pirme ko ginakulbaan gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5101,basin pirme ko ginakulbaan man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5102,basin pirme ko ginakulbaan na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5103,complain ko kay anxious gid ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5104,complain ko kay anxious gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5105,complain ko kay anxious gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5106,complain ko kay daw stressed gid ko ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5107,complain ko kay daw stressed gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5108,complain ko kay daw stressed gid ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5109,complain ko kay daw stressed gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5110,complain ko kay grabe worry ko ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5111,complain ko kay grabe worry ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5112,complain ko kay grabe worry ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5113,complain ko kay kabalaka daw malala ko halin sang gabii gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5114,complain ko kay kabalaka gid ko sige,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5115,complain ko kay kabalaka grabeh ko since yesterday subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5116,complain ko kay kabalaka sing malala ko karon,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5117,complain ko kay pirme ko ginakulbaan gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5118,complain ko kay pirme ko ginakulbaan man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5119,complain ko kay pirme ko ginakulbaan subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5120,daw anxious gid ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5121,daw anxious gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5122,daw anxious gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5123,daw anxious gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5124,daw daw stressed gid ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5125,daw daw stressed gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5126,daw daw stressed gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5127,daw daw stressed gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5128,daw daw stressed gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5129,daw grabe worry ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5130,daw grabe worry ko gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5131,daw grabe worry ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5132,daw grabe worry ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5133,daw grabe worry ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5134,daw grabe worry ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5135,daw kabalaka dako gid ko halin sang aga gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5136,daw kabalaka dako gid ko since yesterday gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5137,daw kabalaka daw malala ko kagapon man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5138,daw kabalaka grabe ko halin sang aga na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5139,daw kabalaka grabe ko halin sang gabii,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5140,daw kabalaka grabe ko halin sang gabii ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5141,daw pirme ko ginakulbaan man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5142,daw pirme ko ginakulbaan na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5143,daw stressed gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5144,daw stressed gid ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5145,daw stressed gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5146,daw stressed gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5147,feel ko nga anxious gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5148,feel ko nga anxious gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5149,feel ko nga anxious gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5150,feel ko nga daw stressed gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5151,feel ko nga daw stressed gid ko gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5152,feel ko nga daw stressed gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5153,feel ko nga daw stressed gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5154,feel ko nga daw stressed gid ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5155,feel ko nga grabe worry ko ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5156,feel ko nga grabe worry ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5157,feel ko nga grabe worry ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5158,feel ko nga kabalaka amo gid ko karon subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5159,feel ko nga kabalaka dako gid ko karon ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5160,feel ko nga kabalaka sing malala ko pirmi,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5161,feel ko nga pirme ko ginakulbaan ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5162,feel ko nga pirme ko ginakulbaan gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5163,feel ko nga pirme ko ginakulbaan ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5164,feel ko nga pirme ko ginakulbaan man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5165,ginakabalaka gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5166,ginakabalaka gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5167,ginakabalaka ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5168,ginakabalaka subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5169,ginakulbaan gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5170,ginakulbaan gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5171,ginakulbaan ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5172,ginakulbaan subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5173,grabe worry ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5174,grabe worry ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5175,grabe worry ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5176,grabe worry ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5177,grabe worry ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5178,kabalaka amo gid ko halin sang aga subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5179,kabalaka gid ko karon,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5180,kabalaka gid ko since yesterday man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5181,kabalaka grabe ko halin sang gabii gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5182,kabalaka grabeh ko kagapon gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5183,kabalaka sing malala ko karon ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5184,kulba gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5185,kulba gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5186,kulba ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5187,kulba subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5188,May anxiety ko gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5189,May anxiety ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5190,May anxiety ko gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5191,May anxiety ko ko since yesterday,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5192,May anxiety ko ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5193,may ara ko nga anxious gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5194,may ara ko nga anxious gid ko ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5195,may ara ko nga anxious gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5196,may ara ko nga anxious gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5197,may ara ko nga anxious gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5198,may ara ko nga daw stressed gid ko ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5199,may ara ko nga daw stressed gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5200,may ara ko nga daw stressed gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5201,may ara ko nga grabe worry ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5202,may ara ko nga grabe worry ko gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5203,may ara ko nga grabe worry ko gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5204,may ara ko nga grabe worry ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5205,may ara ko nga grabe worry ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5206,may ara ko nga kabalaka amo gid ko pirmi na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5207,may ara ko nga kabalaka dako gid ko since yesterday man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5208,may ara ko nga kabalaka sobra ko kagapon gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5209,may ara ko nga pirme ko ginakulbaan,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5210,may ara ko nga pirme ko ginakulbaan ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5211,may ara ko nga pirme ko ginakulbaan gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5212,may ara ko nga pirme ko ginakulbaan gid ako,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5213,may ara ko nga pirme ko ginakulbaan ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5214,nagapanibugho ko kay anxious gid ko gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5215,nagapanibugho ko kay anxious gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5216,nagapanibugho ko kay anxious gid ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5217,nagapanibugho ko kay anxious gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5218,nagapanibugho ko kay anxious gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5219,nagapanibugho ko kay daw stressed gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5220,nagapanibugho ko kay daw stressed gid ko gid ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5221,nagapanibugho ko kay daw stressed gid ko ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5222,nagapanibugho ko kay daw stressed gid ko man,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5223,nagapanibugho ko kay daw stressed gid ko na gid,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5224,nagapanibugho ko kay daw stressed gid ko subong,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
5225,nagapanibugho ko kay grabe worry ko,kabalaka,anxiety,anxiety,mental,Medium,ginakabalaka;worry;kulba;ginakulbaan;anxious,generalized anxiety;panic disorder;stress;depression,anxiety;worry;kabalaka;stress
